Name,Market,ISU_CD,SHORT_CODE
태양3C,KONEX,KR7052960002,052960
엔더블유시,KONEX,KR7059180000,059180
제노텍,KONEX,KR7066830001,066830
지에이이노더스,KONEX,KR7076340009,076340
광동헬스바이오,KONEX,KR7086220001,086220
럭스피아,KONEX,KR7092590009,092590
엔지브이아이,KONEX,KR7093510006,093510
아하,KONEX,KR7102950003,102950
씨앗,KONEX,KR7103660007,103660
KC산업,KONEX,KR7112190004,112190
대주이엔티,KONEX,KR7114920002,114920
태양기계,KONEX,KR7116100009,116100
유니포인트,KONEX,KR7121060008,121060
원포유,KONEX,KR7122830003,122830
큐엠씨,KONEX,KR7136660008,136660
엔솔바이오사이언스,KONEX,KR7140610007,140610
위월드,KONEX,KR7140660002,140660
아이케이세미콘,KONEX,KR7149010001,149010
아퓨어스,KONEX,KR7149300006,149300
루켄테크놀러지스,KONEX,KR7162120000,162120
코스텍시스템,KONEX,KR7169670007,169670
코나솔,KONEX,KR7176590008,176590
대동고려삼,KONEX,KR7178600003,178600
머니무브,KONEX,KR7179720008,179720
탑선,KONEX,KR7180060006,180060
수프로,KONEX,KR7185190006,185190
코셋,KONEX,KR7189350002,189350
블루탑,KONEX,KR7191600006,191600
데이터스트림즈,KONEX,KR7199150004,199150
바이오프로테크,KONEX,KR7199290008,199290
메디쎄이,KONEX,KR7200580009,200580
판도라티비,KONEX,KR7202960001,202960
볼빅,KONEX,KR7206950008,206950
에이펙스인텍,KONEX,KR7207490004,207490
이비테크,KONEX,KR7208850008,208850
미래엔에듀파트너,KONEX,KR7208890004,208890
오건에코텍,KONEX,KR7212310007,212310
크로넥스,KONEX,KR7215570003,215570
인바이츠바이오코아,KONEX,KR7216400002,216400
썬테크,KONEX,KR7217320001,217320
틸론,KONEX,KR7217880004,217880
에스제이켐,KONEX,KR7217910009,217910
파마리서치바이오,KONEX,KR7217950005,217950
플럼라인생명과학,KONEX,KR7222670002,222670
로지스몬,KONEX,KR7223220005,223220
엔에스컴퍼니,KONEX,KR7224760009,224760
엄지하우스,KONEX,KR7224810002,224810
도부,KONEX,KR7227420007,227420
노브메타파마,KONEX,KR7229500004,229500
이엠티,KONEX,KR7232530006,232530
메디안디노스틱,KONEX,KR7233250000,233250
질경이,KONEX,KR7233990001,233990
에이원알폼,KONEX,KR7234070001,234070
씨알푸드,KONEX,KR7236030003,236030
메디젠휴먼케어,KONEX,KR7236340006,236340
엔에스엠,KONEX,KR7238170005,238170
로보쓰리에이아이,KONEX,KR7238500003,238500
아이티센코어,KONEX,KR7243870003,243870
나눔테크,KONEX,KR7244880001,244880
씨앤에스링크,KONEX,KR7245450002,245450
진코스텍,KONEX,KR7250030004,250030
안지오랩,KONEX,KR7251280004,251280
루트락,KONEX,KR7253610000,253610
제이엠멀티,KONEX,KR7254160005,254160
나우코스,KONEX,KR7257990002,257990
테크트랜스,KONEX,KR7258050004,258050
SK시그넷,KONEX,KR7260870001,260870
레드우즈,KONEX,KR7266170000,266170
팡스카이,KONEX,KR7266350008,266350
바이오인프라생명과학,KONEX,KR7266470004,266470
세븐브로이맥주,KONEX,KR7267080000,267080
에스알바이오텍,KONEX,KR7270210008,270210
엘리비젼,KONEX,KR7276240009,276240
EMB,KONEX,KR7278990007,278990
이노벡스,KONEX,KR7279060008,279060
나라소프트,KONEX,KR7288490006,288490
바이오텐,KONEX,KR7289170003,289170
프로젠,KONEX,KR7296160005,296160
가이아코퍼레이션,KONEX,KR7296520000,296520
지앤이헬스케어,KONEX,KR7299480004,299480
더콘텐츠온,KONEX,KR7302920004,302920
엘에이티,KONEX,KR7311060008,311060
인터로이드,KONEX,KR7311960009,311960
노드메이슨,KONEX,KR7317860005,317860
타임기술,KONEX,KR7318660008,318660
무진메디,KONEX,KR7322970005,322970
펨토바이오메드,KONEX,KR7327610002,327610
한국미라클피플사,KONEX,KR7331660001,331660
오션스바이오,KONEX,KR7332190008,332190
타스컴,KONEX,KR7336040001,336040
유엑스엔,KONEX,KR7337840003,337840
퓨쳐메디신,KONEX,KR7341170009,341170
이앤에치,KONEX,KR7341310001,341310
타이드,KONEX,KR7346010002,346010
미쥬,KONEX,KR7351020003,351020
바스칸바이오제약,KONEX,KR7354390007,354390
창대정밀,KONEX,KR7368030003,368030
이성씨엔아이,KONEX,KR7379390008,379390
애니메디솔루션,KONEX,KR7390110005,390110
켈스,KONEX,KR7402420004,402420
라피치,KONEX,KR7403360001,403360
아이엘로보틱스,KONEX,KR7403810005,403810
티엘엔지니어링,KONEX,KR7413300005,413300
탈로스,KONEX,KR7434190005,434190
에피바이오텍,KONEX,KR7446440000,446440
아이오바이오,KONEX,KR7447690009,447690
마이크로엔엑스,KONEX,KR7448780007,448780
큐라켐,KONEX,KR7456190008,456190
아이엠지티,KONEX,KR7456570001,456570
타조이엔터테인먼트,KONEX,KR7476710009,476710
유비씨,KONEX,KR7495810004,495810
본시스템즈,KONEX,KR7496320003,496320
덕양에너젠,KOSDAQ,KR70001A0001,0001A0
삼천당제약,KOSDAQ,KR7000250001,000250
중앙에너비스,KOSDAQ,KR7000440008,000440
엔비알모션,KOSDAQ,KR70004V0003,0004V0
디비금융제14호스팩,KOSDAQ,KR70004Y0000,0004Y0
아크릴,KOSDAQ,KR70007C0003,0007C0
에스엔시스,KOSDAQ,KR70008Z0005,0008Z0
에임드바이오,KOSDAQ,KR70009K0001,0009K0
신라섬유,KOSDAQ,KR7001000009,001000
제이피아이헬스케어,KOSDAQ,KR70010V0005,0010V0
삼진식품,KOSDAQ,KR70013V0002,0013V0
안국약품,KOSDAQ,KR7001540004,001540
그린광학,KOSDAQ,KR70015G0009,0015G0
아로마티카,KOSDAQ,KR70015N0000,0015N0
페스카로,KOSDAQ,KR70015S0005,0015S0
무림SP,KOSDAQ,KR7001810001,001810
이화공영,KOSDAQ,KR7001840008,001840
피에스텍,KOSDAQ,KR7002230001,002230
삼일기업공사,KOSDAQ,KR7002290005,002290
한탑,KOSDAQ,KR7002680007,002680
신신제약,KOSDAQ,KR7002800001,002800
선광,KOSDAQ,KR7003100005,003100
대주산업,KOSDAQ,KR7003310000,003310
하림지주,KOSDAQ,KR7003380003,003380
KB제32호스팩,KOSDAQ,KR70037T0008,0037T0
에이스침대,KOSDAQ,KR7003800000,003800
교보18호스팩,KOSDAQ,KR70041B0002,0041B0
엘에스스팩1호,KOSDAQ,KR70041J0004,0041J0
하나35호스팩,KOSDAQ,KR70041L0000,0041L0
삼성스팩10호,KOSDAQ,KR70044K0008,0044K0
한국가구,KOSDAQ,KR7004590006,004590
창해에탄올,KOSDAQ,KR7004650008,004650
대륙제관,KOSDAQ,KR7004780003,004780
동국산업,KOSDAQ,KR7005160007,005160
동진쎄미켐,KOSDAQ,KR7005290002,005290
엔에이치스팩32호,KOSDAQ,KR70054V0002,0054V0
푸드웰,KOSDAQ,KR7005670005,005670
대원산업,KOSDAQ,KR7005710009,005710
한일사료,KOSDAQ,KR7005860002,005860
매일홀딩스,KOSDAQ,KR7005990007,005990
국영지앤엠,KOSDAQ,KR7006050009,006050
피제이전자,KOSDAQ,KR7006140008,006140
동구바이오제약,KOSDAQ,KR7006620009,006620
서부T&D,KOSDAQ,KR7006730006,006730
비엔케이제3호스팩,KOSDAQ,KR70068Y0003,0068Y0
보성파워텍,KOSDAQ,KR7006910004,006910
모헨즈,KOSDAQ,KR7006920003,006920
삼성스팩11호,KOSDAQ,KR70071M0002,0071M0
KB제33호스팩,KOSDAQ,KR70072Z0006,0072Z0
푸른저축은행,KOSDAQ,KR7007330004,007330
진양제약,KOSDAQ,KR7007370000,007370
네이처셀,KOSDAQ,KR7007390008,007390
와이엠,KOSDAQ,KR7007530009,007530
대원,KOSDAQ,KR7007680002,007680
소노스퀘어,KOSDAQ,KR7007720006,007720
한일화학,KOSDAQ,KR7007770001,007770
에스엠코어,KOSDAQ,KR7007820004,007820
원풍물산,KOSDAQ,KR7008290009,008290
원풍,KOSDAQ,KR7008370009,008370
부스타,KOSDAQ,KR7008470007,008470
대동기어,KOSDAQ,KR7008830002,008830
메리츠제1호스팩,KOSDAQ,KR70088D0004,0088D0
신영스팩11호,KOSDAQ,KR70091W0006,0091W0
삼아제약,KOSDAQ,KR7009300005,009300
미래에셋비전스팩8호,KOSDAQ,KR70093G0004,0093G0
포스코엠텍,KOSDAQ,KR7009520008,009520
삼보산업,KOSDAQ,KR7009620006,009620
삼성스팩12호,KOSDAQ,KR70096B0006,0096B0
미래에셋비전스팩9호,KOSDAQ,KR70096D0004,0096D0
이렘,KOSDAQ,KR7009730003,009730
엠에스씨,KOSDAQ,KR7009780008,009780
미래에셋비전스팩10호,KOSDAQ,KR70097F0001,0097F0
교보19호스팩,KOSDAQ,KR70098T0004,0098T0
미래에셋비전스팩11호,KOSDAQ,KR70099W0008,0099W0
IBKS제25호스팩,KOSDAQ,KR70099X0007,0099X0
대한광통신,KOSDAQ,KR7010170009,010170
하나36호스팩,KOSDAQ,KR70101C0008,0101C0
흥국,KOSDAQ,KR7010240000,010240
아이티센엔텍,KOSDAQ,KR7010280006,010280
오리콤,KOSDAQ,KR7010470003,010470
유진스팩12호,KOSDAQ,KR70105P0009,0105P0
경동제약,KOSDAQ,KR7011040003,011040
형지I&C,KOSDAQ,KR7011080009,011080
유니크,KOSDAQ,KR7011320009,011320
서한,KOSDAQ,KR7011370004,011370
세보엠이씨,KOSDAQ,KR7011560000,011560
삼성스팩13호,KOSDAQ,KR70115H0007,0115H0
삼미금속,KOSDAQ,KR7012210001,012210
뉴인텍,KOSDAQ,KR7012340006,012340
원일특강,KOSDAQ,KR7012620001,012620
리드코프,KOSDAQ,KR7012700001,012700
신일제약,KOSDAQ,KR7012790002,012790
모베이스전자,KOSDAQ,KR7012860003,012860
하이록코리아,KOSDAQ,KR7013030002,013030
동원개발,KOSDAQ,KR7013120001,013120
아진산업,KOSDAQ,KR7013310008,013310
THE CUBE&,KOSDAQ,KR7013720008,013720
스페코,KOSDAQ,KR7013810007,013810
아가방컴퍼니,KOSDAQ,KR7013990007,013990
메디앙스,KOSDAQ,KR7014100002,014100
원익큐브,KOSDAQ,KR7014190003,014190
부방,KOSDAQ,KR7014470009,014470
고려제약,KOSDAQ,KR7014570006,014570
성광벤드,KOSDAQ,KR7014620009,014620
오리엔탈정공,KOSDAQ,KR7014940001,014940
삼익제약,KOSDAQ,KR7014950000,014950
삼륭물산,KOSDAQ,KR7014970008,014970
코콤,KOSDAQ,KR7015710007,015710
성우하이텍,KOSDAQ,KR7015750003,015750
리더스코스메틱,KOSDAQ,KR7016100000,016100
SGC E&C,KOSDAQ,KR7016250003,016250
큐캐피탈,KOSDAQ,KR7016600009,016600
디모아,KOSDAQ,KR7016670002,016670
현대사료,KOSDAQ,KR7016790008,016790
카스,KOSDAQ,KR7016920001,016920
신원종합개발,KOSDAQ,KR7017000001,017000
인터엠,KOSDAQ,KR7017250002,017250
삼현철강,KOSDAQ,KR7017480005,017480
세명전기,KOSDAQ,KR7017510009,017510
대림제지,KOSDAQ,KR7017650003,017650
한국알콜,KOSDAQ,KR7017890005,017890
유니슨,KOSDAQ,KR7018000000,018000
진로발효,KOSDAQ,KR7018120006,018120
